Ano,Mes,Linha_1,Linha_2,Linha_3,Linha_4,Linha_5,Linha_6,Linha_7,Linha_8,Linha_9,Linha_10,Linha_11,Linha_12,Linha_13,Linha_14,Linha_15,Linha_16,Linha_17,Linha_18,Linha_19,Linha_20,Linha_21,Linha_22,Linha_23,Linha_24,Linha_25,Linha_26,Linha_27,Linha_28,Linha_29,Linha_30,Linha_31,Linha_32,Linha_33,Linha_34,Linha_35,Linha_36,Linha_37,Linha_38,Linha_39,Linha_40,Linha_41,Linha_42,Linha_43,Linha_44,Linha_45,Linha_46,Linha_47,Linha_48,Linha_49,Linha_50,Linha_51,Linha_52,Linha_53,Linha_54,Linha_55,Linha_56,Linha_57,Linha_58,Linha_59,Linha_60,Linha_61,Linha_62,Linha_63,Linha_64,Linha_65,Linha_66,Linha_67,Linha_68,Linha_69,Linha_70,Linha_71,Linha_72,Linha_73,Linha_74,Linha_75,Linha_76,Linha_77,Linha_78,Linha_79,Linha_80,Linha_81,Linha_82,Linha_83,Linha_84,Linha_85,Linha_86,Linha_87,Linha_88,Linha_89,Linha_90,Linha_91,Linha_92
2010,Dezembro,0,12,16,34,17,13,15,19,31,32,23,14,12,11,13,9,7,6,11,4,3,12,8,7,5,10,10,7,4,9,9,9,7,13,12,5,15,11,17,11,0,15,11,6,9,9,5,9,19,3,6,13,12,14,11,12,14,11,6,1,16,9,14,11,19,15,7,14,6,15,13,8,9,8,11,17,7,15,11,15,16,6,12,10,10,9,11,9,9,11,8,13
2011,Janeiro,1,14,23,45,38,26,20,41,36,50,56,34,28,18,19,13,20,17,11,23,12,20,14,15,19,13,23,11,19,21,24,20,18,17,23,19,17,16,33,25,17,23,17,22,21,16,17,26,34,16,20,16,17,19,19,18,21,27,17,5,37,25,23,26,28,34,19,28,20,19,29,23,24,32,22,31,26,33,21,25,21,25,20,31,22,17,17,21,13,35,24,26
2011,Fevereiro,1,5,3,7,8,6,4,14,6,9,11,7,1,3,5,5,3,5,2,4,2,4,2,1,1,2,2,3,4,4,2,6,4,5,3,0,4,1,4,5,2,4,5,1,4,3,4,5,5,2,7,3,3,4,5,1,2,2,2,0,6,5,6,6,7,4,7,5,0,3,6,5,2,5,3,2,5,4,2,6,3,6,5,2,2,2,3,2,2,3,3,5
2011,Março,0,9,11,14,5,5,6,15,11,10,11,8,6,4,6,9,6,6,4,4,1,3,7,6,3,4,7,5,8,5,6,3,3,8,4,3,6,2,8,3,4,5,5,3,6,5,3,2,7,8,4,3,4,10,2,10,2,10,3,0,14,8,8,8,13,10,5,9,5,9,7,9,3,7,4,9,10,6,2,15,8,10,7,8,5,4,8,2,4,3,11,12
2011,Abril,1,5,8,9,12,8,4,11,8,13,11,6,10,4,1,6,2,4,5,2,5,10,8,6,7,6,3,7,7,3,6,5,4,11,6,3,6,4,8,9,7,6,5,12,3,8,6,5,4,2,4,0,3,6,4,8,9,6,6,2,14,6,12,2,4,11,8,11,8,4,7,6,2,6,4,6,6,6,8,5,10,8,5,10,2,6,3,3,5,10,4,7
2011,Maio,1,9,12,21,15,5,12,15,8,12,13,13,11,13,10,10,7,7,5,7,2,2,4,6,6,11,6,3,8,9,9,4,2,6,2,7,8,5,4,6,8,4,6,10,7,4,8,6,13,6,5,5,3,7,7,10,8,6,8,0,9,6,10,7,7,14,8,4,4,7,14,5,6,6,4,8,6,6,12,16,7,9,8,9,8,6,9,9,5,13,9,6
2011,Junho,0,9,10,21,20,13,14,16,5,19,20,14,5,7,4,7,4,9,6,8,4,6,5,10,11,7,7,3,5,5,6,10,12,11,5,1,7,5,16,8,4,6,6,8,5,8,5,15,4,6,12,8,5,12,8,9,3,9,7,2,15,7,10,12,10,10,8,9,10,11,12,9,8,10,14,13,12,13,3,11,7,10,5,10,6,7,7,4,6,11,10,7
2011,Julho,1,25,21,29,31,29,13,28,27,27,45,12,24,12,12,16,19,13,8,13,9,10,19,17,16,21,10,9,13,17,20,13,12,12,14,9,11,16,24,13,19,21,9,16,15,18,12,22,18,11,15,8,12,16,7,18,13,19,16,4,21,21,21,22,16,24,24,15,21,18,21,15,16,20,23,29,14,21,13,30,19,15,20,22,14,9,14,15,6,23,11,20
2011,Agosto,0,4,12,10,7,5,8,10,4,12,22,10,9,5,6,5,3,3,6,3,7,6,2,4,3,4,4,3,5,6,5,4,5,10,3,3,5,6,6,6,2,3,0,4,3,6,6,4,9,5,4,5,3,2,4,6,1,5,7,0,8,4,6,5,7,4,7,6,5,2,11,3,6,12,7,13,7,7,2,8,6,5,5,2,4,1,4,5,6,11,6,4
2011,Setembro,0,3,12,22,20,9,11,16,13,22,23,12,9,10,9,13,8,8,5,8,8,6,3,3,7,4,3,7,8,7,7,6,7,14,8,5,6,8,13,9,7,5,3,7,12,9,8,7,8,8,5,5,10,13,6,12,8,9,8,1,14,10,10,8,10,14,11,6,13,8,15,14,7,5,7,17,7,7,6,12,9,9,8,11,6,4,11,11,5,4,7,14
